Linija,Stanica,Trajanje
1,Zapadni kolodvor,0
1,Trg dr. F. Tuđmana,2
1,Britanski trg,4
1,Frankopanska,6
1,Trg bana J. Jelačića,9
1,Trg hrvatskih velikana,12
1,Trg žrtava fašizma,14
1,Šubićeva,16
1,Tuškanova,17
1,Heinzelova,18
1,Šulekova,19
1,Harambašićeva,20
1,Svetice,21
1,Borongaj,23
2,Črnomerec,0
2,Sveti Duh,3
2,Mandaličina,4
2,Slovenska,5
2,Trg dr. F. Tuđmana,8
2,Talovčeva,9
2,Adžijina,11
2,Vodnikova,15
2,Botanički vrt,17
2,Glavni kolodvor,19
2,Branimirova,21
2,Branimirova tržnica,24
2,Autobusni kolodvor,26
2,Držićeva,28
2,Olipska,29
2,Radnička,31
2,Heinzelova,33
2,Donje Svetice,34
2,Ivanićgradska,36
2,Ferenščica,37
2,Getaldićeva,38
2,Čavićeva,40
2,Žitnjak,41
2,Elka,43
2,Munja,44
2,Zagreb. transporti,45
2,Savišće,45
3,Ljubljanica,0
3,Selska,2
3,Nehajska,4
3,Trešnjevački trg,5
3,Badalićeva,8
3,Tehnički muzej,9
3,Studentski centar,10
3,Zagrepčanka,12
3,Vrbik,14
3,Sveučilišna al.,16
3,Miramarska,18
3,Lisinski,20
3,Kruge,21
3,Strojarska,22
3,Držićeva,25
3,Olipska,26
3,Radnička,27
3,Heinzelova,29
3,Donje Svetice,31
3,Ivanićgradska,32
3,Ferenščica,33
3,Getaldićeva,34
3,Čavićeva,36
3,Žitnjak,38
3,Elka,39
3,Munja,40
3,Zagreb. transporti,41
3,Savišće,42
4,Savski most,0
4,Veslačka,2
4,Prisavlje,3
4,Vjesnik,6
4,Učiteljski fakultet,8
4,Zagrepčanka,11
4,Studentski centar,13
4,Vodnikova,14
4,Botanički vrt,16
4,Glavni kolodvor,18
4,Branimirova,20
4,Sheraton,22
4,Kl. za traum.,24
4,Draškovićeva,26
4,Vončinina,27
4,Petrova,29
4,Kvaternikov trg,31
4,Mašićeva,32
4,Jordanovac,34
4,Park Maksimir,35
4,Hondlova,37
4,Ravnice,38
4,Dubrava,41
4,Ljubijska,43
4,Kapucinska,44
4,Grižanska,45
4,Dankovečka,46
4,Čulinečka,47
4,Aleja javora,49
4,Poljanice IV,49
4,Dubec,52
5,Prečko,0
5,Slavenskog,2
5,M. Radev,3
5,Petrovaradinska,4
5,Vrbani,7
5,Hrvatskog sokola,9
5,Jarun,11
5,Srednjaci,14
5,Horvati,15
5,Knežija,16
5,St. dom S. Radić,18
5,Veslačka,20
5,Prisavlje,21
5,Vjesnik,24
5,Učiteljski fakultet,26
5,Zagrepčanka,30
5,Vrbik,32
5,Sveučilišna al.,33
5,Miramarska,34
5,Lisinski,35
5,Kruge,37
5,Strojarska,38
5,Držićeva,40
5,Autobusni kolodvor,42
5,Trg Petra Krešimira IV,45
5,Šubićeva,47
5,Tržnica Kvatrić,49
5,Mašićeva,54
5,Jordanovac,55
5,Park Maksimir,57
5,Hondlova,59
5,Ravnice,60
5,Dubrava,63
6,Črnomerec,0
6,Sveti Duh,3
6,Mandaličina,4
6,Slovenska,5
6,Trg dr. F. Tuđmana,8
6,Britanski trg,9
6,Frankopanska,11
6,Trg bana J. Jelačića,15
6,Zrinjevac,17
6,Glavni kolodvor,19
6,Branimirova,21
6,Branimirova tržnica,24
6,Autobusni kolodvor,26
6,Držićeva,28
6,Slavonska,29
6,Folnegovićevo naselje,31
6,Borovje,32
6,Most mladosti,33
6,Zapruđe,34
6,Zapruđe,35
6,Utrina,37
6,Središće,38
6,Sopot,40
7,Savski most,0
7,St. dom S. Radić,2
7,Arena Zagreb,4
7,Savski gaj,6
7,Trnsko,7
7,Velesajam,9
7,Muzej suv.umjetnosti,11
7,Sopot,13
7,Središće,15
7,Utrina,16
7,Zapruđe,17
7,Zapruđe,18
7,Most mladosti,19
7,Borovje,22
7,Folnegovićevo naselje,23
7,Slavonska,24
7,Držićeva,27
7,Autobusni kolodvor,29
7,Trg Petra Krešimira IV,32
7,Šubićeva,34
7,Tržnica Kvatrić,36
7,Mašićeva,41
