Linija,Razdoblje,Učestalost polazaka (min)
1,Radni dan,18
2,Radni dan,14
2,Subota,14
2,Nedjelja,20
3,Radni dan,16
4,Radni dan,11
4,Subota,16
4,Nedjelja,18
5,Radni dan,16
5,Subota,15
5,Nedjelja,18
6,Radni dan,11
6,Subota,12
6,Nedjelja,17
7,Radni dan,9
7,Subota,11
7,Nedjelja,16
8,Radni dan,16
9,Radni dan,10
9,Subota,10
9,Nedjelja,10
11,Radni dan,7
11,Subota,9
11,Nedjelja,11
12,Radni dan,9
12,Subota,9
12,Nedjelja,12
13,Radni dan,14
13,Subota,11
13,Nedjelja,12
14,Radni dan,9
14,Subota,8
14,Nedjelja,8
15,Radni dan,11
15,Subota,11
15,Nedjelja,11
17,Radni dan,8
17,Subota,9
17,Nedjelja,9
